SECCIÓN,CASILLA,DISTRITO,NO. MPO,MUNICIPIO,ACTA,PAN,PRI,PRD,PT,PVEM,PCP,PMC,MORENA,PNA SAN LUIS,PES,RSP,FXM,CI,"PAN,PRI,PRD,PCP","PAN,PRI,PRD","PAN,PRI,PCP","PAN,PRD,PCP","PRI,PRD,PCP","PAN,PRI","PAN,PRD","PAN,PCP","PRI,PRD","PRI,PCP","PRD,PCP","PT,PVEM",CNR,VTN,TOTAL,OBSERVACIONES
930,B1,7.0,28.0,SAN LUIS POTOSÍ,10930B012807,295,73,6,3,15,3,6,18,3,0,1,2,2,6,8,0,1,0,6,0,1,0,0,0,1,1,3,454,
982,B1,7.0,28.0,SAN LUIS POTOSÍ,10982B012807,315,82,5,3,21,0,6,28,1,2,0,1,1,7,3,0,0,0,4,1,0,0,0,0,0,0,2,482,
982,C1,7.0,28.0,SAN LUIS POTOSÍ,10982C012807,288,90,5,2,18,4,4,34,0,0,0,5,1,11,7,0,0,0,2,0,0,0,0,0,5,3,7,486,
983,B1,7.0,28.0,SAN LUIS POTOSÍ,10983B012807,356,92,4,1,21,0,8,26,0,1,0,0,2,9,13,0,1,0,1,0,1,0,0,0,3,2,4,545,
983,C1,7.0,28.0,SAN LUIS POTOSÍ,10983C012807,369,74,6,2,26,0,8,20,0,1,3,3,3,8,10,0,0,0,6,0,0,0,0,0,1,0,2,542,
983,C2,7.0,28.0,SAN LUIS POTOSÍ,10983C022807,380,63,3,4,19,3,9,26,1,2,3,2,1,5,4,0,0,0,5,0,0,0,0,0,2,1,5,538,
984,B1,7.0,28.0,SAN LUIS POTOSÍ,10984B012807,312,35,3,2,24,0,7,20,1,3,0,2,7,7,5,0,1,0,5,1,0,0,0,0,2,1,4,442,
984,C1,7.0,28.0,SAN LUIS POTOSÍ,10984C012807,319,49,3,1,24,0,4,10,1,0,1,2,6,8,11,0,0,0,4,2,0,0,0,0,0,0,4,449,
984,C2,7.0,28.0,SAN LUIS POTOSÍ,10984C022807,292,52,1,2,24,1,11,30,0,0,0,1,3,5,2,0,0,0,0,0,0,0,0,0,3,0,2,429,
984,C3,7.0,28.0,SAN LUIS POTOSÍ,10984C032807,299,49,4,5,26,1,7,13,2,0,3,2,2,9,9,0,0,0,1,0,0,0,0,0,3,0,3,438,
986,B1,7.0,28.0,SAN LUIS POTOSÍ,10986B012807,201,48,4,2,31,2,10,51,6,5,4,5,0,6,5,1,0,0,5,0,0,0,0,0,3,2,14,405,
987,B1,7.0,28.0,SAN LUIS POTOSÍ,10987B012807,134,44,6,7,42,1,12,33,0,0,5,1,3,7,6,0,1,0,3,1,1,0,1,0,0,9,1,318,
987,C1,7.0,28.0,SAN LUIS POTOSÍ,10987C012807,159,30,5,8,41,3,16,20,2,5,5,1,10,9,5,0,0,0,7,0,0,0,0,0,3,2,15,346,
988,B1,7.0,28.0,SAN LUIS POTOSÍ,10988B012807,58,31,1,11,68,2,11,26,3,0,6,1,1,3,8,0,0,0,1,0,0,0,0,0,17,0,6,254,
988,C1,7.0,28.0,SAN LUIS POTOSÍ,10988C012807,65,33,1,14,59,0,9,30,0,1,5,3,4,6,5,0,0,0,1,0,0,0,0,0,8,0,9,253,
989,B1,7.0,28.0,SAN LUIS POTOSÍ,10989B012807,200,49,7,18,82,2,17,51,6,7,8,7,8,4,4,0,0,0,3,0,0,0,0,0,8,2,12,495,
996,B1,7.0,28.0,SAN LUIS POTOSÍ,10996B012807,70,20,0,10,84,0,9,23,2,0,9,2,4,5,6,1,0,0,4,0,0,0,0,0,11,2,13,275,
996,C1,7.0,28.0,SAN LUIS POTOSÍ,10996C012807,69,29,2,14,90,0,8,25,2,0,4,1,0,6,2,0,0,0,0,0,0,0,0,0,12,3,4,271,
997,B1,7.0,28.0,SAN LUIS POTOSÍ,10997B012807,117,66,5,11,57,2,16,53,7,2,5,8,2,5,4,0,0,0,2,0,0,0,0,0,7,3,11,383,
997,C1,7.0,28.0,SAN LUIS POTOSÍ,10997C012807,131,40,2,9,61,2,10,42,4,4,6,4,2,11,6,1,0,0,4,1,0,0,0,0,17,2,5,364,
998,B1,7.0,28.0,SAN LUIS POTOSÍ,10998B012807,218,56,1,10,26,1,11,22,5,0,2,1,3,7,5,0,5,0,4,0,0,0,0,0,2,0,4,383,
998,C1,7.0,28.0,SAN LUIS POTOSÍ,10998C012807,200,45,0,9,41,1,13,27,5,2,1,1,2,1,8,1,0,0,2,1,0,0,0,0,4,0,7,371,
998,C2,7.0,28.0,SAN LUIS POTOSÍ,10998C022807,200,44,2,5,51,3,6,26,1,1,3,2,4,5,6,0,0,0,0,0,0,0,0,0,4,1,10,374,
999,B1,7.0,28.0,SAN LUIS POTOSÍ,10999B012807,254,67,5,6,34,4,10,45,2,3,4,3,1,10,5,0,0,0,1,0,0,0,0,0,1,2,3,460,
999,C1,7.0,28.0,SAN LUIS POTOSÍ,10999C012807,287,55,5,7,31,5,5,26,2,0,1,2,0,8,9,1,0,0,4,0,0,0,0,0,3,2,6,459,
999,C2,7.0,28.0,SAN LUIS POTOSÍ,10999C022807,291,69,8,3,23,7,8,30,2,1,5,0,1,10,4,0,0,0,2,0,0,1,0,0,2,1,0,468,
1000,B1,7.0,28.0,SAN LUIS POTOSÍ,11000B012807,301,52,5,2,20,0,4,11,1,0,1,1,2,11,8,2,0,0,5,0,0,0,0,0,4,1,5,436,
1000,C1,7.0,28.0,SAN LUIS POTOSÍ,11000C012807,307,49,3,5,14,6,5,13,0,1,2,0,1,8,10,1,0,0,1,0,0,0,0,0,1,0,3,430,
1000,C2,7.0,28.0,SAN LUIS POTOSÍ,11000C022807,270,62,1,7,17,2,10,28,0,1,2,2,4,3,12,0,0,0,3,0,0,0,0,0,4,0,3,431,
1001,B1,7.0,28.0,SAN LUIS POTOSÍ,11001B012807,215,40,2,5,31,1,6,23,0,2,1,1,8,7,5,0,0,0,2,0,0,0,0,0,6,0,5,360,
1001,C1,7.0,28.0,SAN LUIS POTOSÍ,11001C012807,193,52,4,7,28,1,8,18,1,0,1,0,2,4,8,0,0,0,2,1,0,0,0,0,6,3,8,347,
1001,C2,7.0,28.0,SAN LUIS POTOSÍ,11001C022807,221,50,6,3,40,5,7,30,1,2,2,1,2,6,5,1,0,0,1,0,0,0,0,0,3,2,3,391,
1002,B1,7.0,28.0,SAN LUIS POTOSÍ,11002B012807,158,51,4,8,51,1,6,20,2,1,3,5,1,5,5,1,0,0,0,0,0,0,1,0,7,2,5,337,
1002,C1,7.0,28.0,SAN LUIS POTOSÍ,11002C012807,147,33,1,6,43,2,14,18,3,3,5,0,3,4,3,0,0,0,1,0,0,0,0,0,6,0,5,297,
1003,B1,7.0,28.0,SAN LUIS POTOSÍ,11003B012807,119,31,8,10,113,2,13,25,1,7,8,3,1,12,0,0,0,0,0,0,0,0,0,0,8,2,10,373,
1004,B1,7.0,28.0,SAN LUIS POTOSÍ,11004B012807,279,59,2,4,29,1,12,32,1,3,3,1,9,9,7,1,0,0,1,0,0,0,0,0,6,0,4,463,
1004,C1,7.0,28.0,SAN LUIS POTOSÍ,11004C012807,264,72,2,1,25,3,11,29,1,2,3,4,4,11,11,0,0,0,6,0,0,0,0,0,4,1,7,461,
1005,B1,7.0,28.0,SAN LUIS POTOSÍ,11005B012807,174,60,2,2,18,1,14,20,1,0,4,1,4,9,7,1,0,0,3,0,0,1,0,0,2,0,7,331,
1005,C1,7.0,28.0,SAN LUIS POTOSÍ,11005C012807,197,43,3,8,12,4,13,23,1,0,0,0,1,13,5,0,0,0,3,0,0,0,0,0,1,1,6,334,
1006,B1,7.0,28.0,SAN LUIS POTOSÍ,11006B012807,59,17,5,14,110,0,12,30,33,0,3,1,2,1,1,0,0,0,1,0,0,0,0,0,15,0,4,308,
1006,C1,7.0,28.0,SAN LUIS POTOSÍ,11006C012807,52,31,2,20,69,1,6,39,3,4,6,0,1,6,8,0,0,0,0,0,0,0,0,0,15,1,4,268,
1007,B1,7.0,28.0,SAN LUIS POTOSÍ,11007B012807,71,31,3,9,82,4,14,27,1,1,4,0,1,5,3,1,0,0,1,1,1,0,0,0,9,0,9,278,
1007,C1,7.0,28.0,SAN LUIS POTOSÍ,11007C012807,63,27,3,14,72,4,7,30,1,3,7,2,3,9,3,0,0,0,3,1,0,0,0,0,9,2,12,275,
1019,B1,7.0,28.0,SAN LUIS POTOSÍ,11019B012807,138,76,4,11,59,4,16,44,5,6,2,3,4,8,5,0,0,0,2,1,0,1,0,0,3,0,13,405,
1019,C1,7.0,28.0,SAN LUIS POTOSÍ,11019C012807,135,68,8,8,65,3,11,39,6,4,5,3,6,4,5,0,0,0,1,1,0,0,0,0,2,2,6,382,
1020,B1,7.0,28.0,SAN LUIS POTOSÍ,11020B012807,93,41,5,10,75,1,10,53,3,5,2,0,3,5,11,2,1,0,3,1,0,0,0,0,18,1,9,352,
1020,C1,7.0,28.0,SAN LUIS POTOSÍ,11020C012807,86,33,5,7,103,1,14,42,4,0,4,2,2,5,7,1,0,0,3,0,0,0,0,0,9,2,13,343,
1021,B1,7.0,28.0,SAN LUIS POTOSÍ,11021B012807,174,61,4,8,33,1,11,38,2,1,6,2,4,7,8,1,1,0,5,0,0,0,0,0,6,0,8,381,
1021,C1,7.0,28.0,SAN LUIS POTOSÍ,11021C012807,179,65,6,9,47,5,6,36,4,1,3,1,3,8,7,0,0,0,7,1,0,0,0,0,4,0,6,398,
1022,B1,7.0,28.0,SAN LUIS POTOSÍ,11022B012807,338,73,4,7,27,1,6,31,1,1,3,0,3,4,7,0,0,0,6,0,0,0,0,0,1,1,4,518,
1022,C1,7.0,28.0,SAN LUIS POTOSÍ,11022C012807,360,51,8,4,21,0,9,40,4,2,5,3,4,9,12,1,0,0,3,1,0,0,0,0,3,3,7,550,
1023,B1,7.0,28.0,SAN LUIS POTOSÍ,11023B012807,199,26,2,22,119,3,10,18,3,0,3,0,1,5,11,0,0,0,3,0,0,1,0,0,10,0,4,440,
1023,C1,7.0,28.0,SAN LUIS POTOSÍ,11023C012807,236,30,9,7,114,2,5,31,0,4,1,3,1,3,4,1,0,0,4,0,0,0,0,0,14,0,5,474,
1023,C2,7.0,28.0,SAN LUIS POTOSÍ,11023C022807,245,37,1,10,96,1,9,21,3,0,6,4,5,9,10,1,1,0,1,0,0,0,0,0,17,0,4,481,
1023,C3,7.0,28.0,SAN LUIS POTOSÍ,11023C032807,164,30,8,11,131,1,12,39,1,1,8,2,3,6,4,1,0,0,3,1,0,0,0,0,21,0,6,453,
1023,C4,7.0,28.0,SAN LUIS POTOSÍ,11023C042807,197,44,6,10,122,2,12,22,2,3,8,1,3,10,0,0,0,0,0,0,0,0,0,0,14,0,6,462,
1023,C5,7.0,28.0,SAN LUIS POTOSÍ,11023C052807,227,41,5,16,96,1,5,21,3,1,4,2,1,9,5,1,1,0,5,0,0,0,0,0,11,0,15,470,
1023,C6,7.0,28.0,SAN LUIS POTOSÍ,11023C062807,255,35,9,12,76,2,10,39,0,2,5,0,3,4,8,0,0,0,1,0,0,0,1,0,14,2,7,485,
1024,B1,7.0,28.0,SAN LUIS POTOSÍ,11024B012807,140,51,2,10,53,6,16,39,5,0,2,0,3,2,10,0,0,0,2,1,0,0,0,0,7,0,11,360,
1024,C1,7.0,28.0,SAN LUIS POTOSÍ,11024C012807,140,46,7,4,61,0,16,31,8,2,6,0,1,3,5,2,1,0,7,1,0,0,0,0,8,5,0,354,
1025,B1,7.0,28.0,SAN LUIS POTOSÍ,11025B012807,137,47,4,3,42,2,11,41,6,1,5,1,3,11,4,0,0,0,7,0,0,0,0,0,4,0,3,332,
1025,C1,7.0,28.0,SAN LUIS POTOSÍ,11025C012807,148,39,4,10,42,3,6,42,3,25,2,0,3,11,3,0,0,0,2,1,0,0,0,0,4,3,3,354,
1037,B1,7.0,28.0,SAN LUIS POTOSÍ,11037B012807,181,48,2,5,35,3,14,44,3,3,7,0,4,7,7,0,0,0,2,0,0,0,0,0,3,4,9,381,
1037,C1,7.0,28.0,SAN LUIS POTOSÍ,11037C012807,155,60,4,7,44,2,15,51,2,0,2,1,4,6,2,0,0,0,6,0,0,0,0,0,5,1,7,374,
1038,B1,7.0,28.0,SAN LUIS POTOSÍ,11038B012807,137,34,4,7,31,1,18,23,3,3,0,4,6,11,3,2,0,0,4,0,0,0,0,0,3,2,8,304,
1038,C1,7.0,28.0,SAN LUIS POTOSÍ,11038C012807,120,34,1,3,50,3,11,35,2,0,11,2,3,3,4,0,0,0,2,0,0,0,0,0,9,1,4,298,
1039,B1,7.0,28.0,SAN LUIS POTOSÍ,11039B012807,351,55,10,4,18,2,10,16,4,1,4,1,1,5,12,0,0,0,4,1,0,0,0,0,4,1,2,506,
